Ensembl hit	Gene Name	Description	Gene Type	Genomic Location	Other Names
ENSG00000206766	RNU6-435P	"RNA, U6 small nuclear 435, pseudogene "	snRNA	Chromosome 18: 24218300-24218404forward strand	-
ENSG00000240244	GAPDHP33	glyceraldehyde 3 phosphate dehydrogenase pseudogene 33 	processed pseudogene	Chromosome 1: 119596167-119597179reverse strand	-
ENSG00000261646	AC093849.1	novel transcript	lncRNA	Chromosome 4: 173467833-173470041reverse strand	-
ENSG00000249722	AC025752.1	novel transcript	lncRNA	Chromosome 5: 174329612-174330503forward strand	-
ENSG00000222624	RNU2-15P	"RNA, U2 small nuclear 15, pseudogene "	snRNA	Chromosome 1: 65415816-65416006forward strand	-
ENSG00000248637	AC108064.1	"ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast) (UBE2N) pseudogene"	processed pseudogene	Chromosome 4: 172380028-172380487reverse strand	-
ENSG00000196715	VKORC1L1	vitamin K epoxide reductase complex subunit 1 like 1 	protein coding	Chromosome 7: 65873074-65959563forward strand	-
ENSG00000263856	-	-	-	-	-
ENSG00000225794	AC073321.1	novel transcript	lncRNA	Chromosome 2: 216594359-216611206forward strand	-
ENSG00000142910	TINAGL1	tubulointerstitial nephritis antigen like 1 	protein coding	Chromosome 1: 31576485-31587686forward strand	-
ENSG00000280756	-	-	-	-	-
ENSG00000204475	NCR3	natural cytotoxicity triggering receptor 3 	protein coding	Chromosome 6: 31588895-31593006reverse strand	-
ENSG00000215154	AC141586.1	potassium channel tetramerisation domain containing 5 (KCTD5) pseudogene	transcribed unprocessed pseudogene	Chromosome 16: 2603350-2630494forward strand	-
ENSG00000124143	ARHGAP40	Rho GTPase activating protein 40 	protein coding	Chromosome 20: 38601934-38651035forward strand	-
ENSG00000245105	A2M-AS1	A2M antisense RNA 1 	lncRNA	Chromosome 12: 9065163-9068689forward strand	-
ENSG00000251503	CENPS-CORT	CENPS-CORT readthrough 	protein coding	Chromosome 1: 10430102-10452153forward strand	-
ENSG00000198178	CLEC4C	C-type lectin domain family 4 member C 	protein coding	Chromosome 12: 7729383-7751605reverse strand	-
ENSG00000123836	PFKFB2	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 "	protein coding	Chromosome 1: 207034366-207081024forward strand	-
ENSG00000259186	MRPS15P1	mitochondrial ribosomal protein S15 pseudogene 1 	processed pseudogene	Chromosome 15: 73483196-73483943reverse strand	-
ENSG00000100731	PCNX1	pecanex 1 	protein coding	Chromosome 14: 70907405-71115382forward strand	-
ENSG00000028310	BRD9	bromodomain containing 9 	protein coding	Chromosome 5: 850291-892801reverse strand	-
ENSG00000153707	PTPRD	protein tyrosine phosphatase receptor type D 	protein coding	Chromosome 9: 8314246-10612723reverse strand	-
ENSG00000280576	-	-	-	-	-
ENSG00000272254	AC022893.3	"novel transcript, antisense to TERF1"	lncRNA	Chromosome 8: 73042910-73043346reverse strand	-
ENSG00000238013	AC109583.2	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2 (ATP5J2) pseudogene"	processed pseudogene	Chromosome 3: 46798123-46798390forward strand	-
ENSG00000173611	SCAI	suppressor of cancer cell invasion 	protein coding	Chromosome 9: 124942608-125143528reverse strand	-
ENSG00000208892	SNORA49	"small nucleolar RNA, H/ACA box 49 "	snoRNA	Chromosome 12: 132031224-132031359forward strand	-
ENSG00000279994	AC017037.4	TEC	TEC	Chromosome 4: 157945817-157946642reverse strand	-
ENSG00000263277	-	-	-	-	-
ENSG00000261717	AC009163.5	novel TMEM170A-CFDP1 readthrough protein	protein coding	Chromosome 16: 75412684-75464706reverse strand	-
ENSG00000207321	RNU6-160P	"RNA, U6 small nuclear 160, pseudogene "	snRNA	Chromosome 1: 153331622-153331728forward strand	-
ENSG00000164983	TMEM65	transmembrane protein 65 	protein coding	Chromosome 8: 124306189-124372701reverse strand	-
ENSG00000267733	AP005264.4	"solute carrier family 5 (low affinity glucose cotransporter), member 4 (SLC5A4) pseudogene"	transcribed processed pseudogene	Chromosome 18: 12201982-12223539forward strand	-
ENSG00000007129	CEACAM21	CEA cell adhesion molecule 21 	protein coding	Chromosome 19: 41549518-41586844forward strand	-
ENSG00000174899	SLC66A1L	solute carrier family 66 member 1 like 	transcribed unitary pseudogene	Chromosome 3: 157543246-157677749forward strand	-
ENSG00000137200	CMTR1	cap methyltransferase 1 	protein coding	Chromosome 6: 37433219-37482827forward strand	-
ENSG00000101470	TNNC2	"troponin C2, fast skeletal type "	protein coding	Chromosome 20: 45823214-45833745reverse strand	-
ENSG00000274227	AC073575.2	"novel transcript, antisense to ERP29"	lncRNA	Chromosome 12: 112018804-112019430reverse strand	-
ENSG00000111728	ST8SIA1	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 "	protein coding	Chromosome 12: 22063773-22437041reverse strand	-
ENSG00000256747	AC009511.2	novel transcript	lncRNA	Chromosome 12: 27779821-27781067reverse strand	-
ENSG00000174485	DENND4A	DENN domain containing 4A 	protein coding	Chromosome 15: 65658046-65792293reverse strand	-
ENSG00000163938	GNL3	G protein nucleolar 3 	protein coding	Chromosome 3: 52681156-52694497forward strand	-
ENSG00000153237	CCDC148	coiled-coil domain containing 148 	protein coding	Chromosome 2: 158171073-158456753reverse strand	-
ENSG00000255882	AC091814.1	novel transcript	lncRNA	Chromosome 12: 9867027-9869808forward strand	-
ENSG00000263574	AC125421.1	novel transcript	lncRNA	Chromosome 17: 73737854-73756932forward strand	-
ENSG00000212396	RNA5SP323	"RNA, 5S ribosomal pseudogene 323 "	rRNA pseudogene	Chromosome 10: 93510548-93510680reverse strand	-
ENSG00000160216	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3 	protein coding	Chromosome 21: 43865223-43987592forward strand	-
ENSG00000187238	LCE3B	late cornified envelope 3B 	protein coding	Chromosome 1: 152613811-152614098forward strand	-
ENSG00000274640	SNORD109A	"small nucleolar RNA, C/D box 109A "	snoRNA	Chromosome 15: 25041974-25042040forward strand	-
ENSG00000170356	OR2A20P	olfactory receptor family 2 subfamily A member 20 pseudogene 	transcribed unprocessed pseudogene	Chromosome 7: 144250045-144256244reverse strand	-
ENSG00000261856	LINC02186	long intergenic non-protein coding RNA 2186 	lncRNA	Chromosome 16: 14018880-14021077reverse strand	-
ENSG00000274606	AC106873.4	-	misc RNA	Chromosome 7: 116959593-116959805forward strand	-
ENSG00000259763	LINC02157	long intergenic non-protein coding RNA 2157 	lncRNA	Chromosome 15: 96235785-96237010forward strand	-
ENSG00000198176	TFDP1	transcription factor Dp-1 	protein coding	Chromosome 13: 113584721-113641473forward strand	-
ENSG00000204661	C5orf60	chromosome 5 open reading frame 60 	lncRNA	Chromosome 5: 179641544-179645046reverse strand	-
ENSG00000252913	RNU6-158P	"RNA, U6 small nuclear 158, pseudogene "	snRNA	Chromosome 4: 48932755-48932854reverse strand	-
ENSG00000138069	RAB1A	"RAB1A, member RAS oncogene family "	protein coding	Chromosome 2: 65070696-65130331reverse strand	-
ENSG00000196323	ZBTB44	zinc finger and BTB domain containing 44 	protein coding	Chromosome 11: 130226677-130314917reverse strand	-
ENSG00000261371	PECAM1	platelet and endothelial cell adhesion molecule 1 	protein coding	Chromosome 17: 64319415-64413776reverse strand	-
ENSG00000212104	-	-	-	-	-
ENSG00000229359	PIN1P1	"peptidylprolyl cis/trans isomerase, NIMA-interacting 1 pseudogene 1 "	transcribed processed pseudogene	Chromosome 1: 69919322-69920317forward strand	-
ENSG00000163635	ATXN7	ataxin 7 	protein coding	Chromosome 3: 63863155-64003462forward strand	-
ENSG00000279951	AL138688.2	TEC	TEC	Chromosome 13: 20092632-20094144forward strand	-
ENSG00000266229	-	-	-	-	-
ENSG00000260001	TGFBR3L	transforming growth factor beta receptor 3 like 	protein coding	Chromosome 19: 7914830-7919097forward strand	-
ENSG00000063015	SEZ6	seizure related 6 homolog 	protein coding	Chromosome 17: 28954901-29006440reverse strand	-
ENSG00000225595	LINC01623	long intergenic non-protein coding RNA 1623 	lncRNA	Chromosome 6: 28859625-28864630reverse strand	-
ENSG00000236277	NIPA2P5	NIPA2 pseudogene 5 	processed pseudogene	Chromosome 13: 79090783-79094119forward strand	-
ENSG00000171872	KLF17	Kruppel like factor 17 	protein coding	Chromosome 1: 44118821-44135140forward strand	-
ENSG00000176204	LRRTM4	leucine rich repeat transmembrane neuronal 4 	protein coding	Chromosome 2: 76747685-77593319reverse strand	-
ENSG00000198252	STYX	serine/threonine/tyrosine interacting protein 	protein coding	Chromosome 14: 52730166-52774989forward strand	-
ENSG00000259632	AC090971.4	"UTP6, small subunit (SSU) processome component, homolog (yeast) (UTP6) pseudogene"	processed pseudogene	Chromosome 15: 51859185-51861293reverse strand	-
ENSG00000278233	RNA5-8SN2	"RNA, 5.8S ribosomal N2 "	rRNA	Chromosome 21: 8212572-8212724forward strand	-
ENSG00000248629	AC092608.1	novel transcript	lncRNA	Chromosome 4: 156841359-156842236forward strand	-
ENSG00000258737	SUB1P2	SUB1 pseudogene 2 	processed pseudogene	Chromosome 14: 74305425-74306527forward strand	-
ENSG00000124812	CRISP1	cysteine rich secretory protein 1 	protein coding	Chromosome 6: 49834257-49877096reverse strand	-
ENSG00000232530	LIF-AS1	LIF antisense RNA 1 	lncRNA	Chromosome 22: 30239194-30240538forward strand	-
ENSG00000233903	-	-	-	-	-
ENSG00000272262	RNU6-89P	"RNA, U6 small nuclear 89, pseudogene "	snRNA	Chromosome 1: 202410108-202410207reverse strand	-
ENSG00000173810	PPIAP7	peptidylprolyl isomerase A pseudogene 7 	processed pseudogene	Chromosome 1: 101270875-101271363reverse strand	-
ENSG00000228539	AL157413.1	"novel transcript, antisense to SYNDIG1"	lncRNA	Chromosome 20: 24491472-24502345reverse strand	-
ENSG00000249373	AC093879.1	novel transcript	lncRNA	Chromosome 4: 113031287-113034551reverse strand	-
ENSG00000235303	AL023495.1	novel transcript	lncRNA	Chromosome 1: 170598854-170647339forward strand	-
ENSG00000263927	-	-	-	-	-
ENSG00000257855	AC126471.1	p53 and DNA-damage regulated 1 (PDRG1) pseudogene	processed pseudogene	Chromosome 12: 85567878-85568239forward strand	-
ENSG00000225922	RPL21P92	ribosomal protein L21 pseudogene 92 	processed pseudogene	Chromosome 10: 67793770-67794245forward strand	-
ENSG00000275998	-	-	-	-	-
ENSG00000207421	SNORD38B	"small nucleolar RNA, C/D box 38B "	snoRNA	Chromosome 1: 44778390-44778456forward strand	-
ENSG00000266973	AC092296.1	"novel transcript, antisense to ZFP14"	lncRNA	Chromosome 19: 36378028-36378832forward strand	-
ENSG00000273019	-	-	-	-	-
ENSG00000170430	MGMT	O-6-methylguanine-DNA methyltransferase 	protein coding	Chromosome 10: 129467190-129770983forward strand	-
ENSG00000257849	AC012038.2	novel transcript	lncRNA	Chromosome 12: 42966122-42967353forward strand	-
ENSG00000272895	AC009303.3	"novel transcript, antisense to CCDC93"	lncRNA	Chromosome 2: 117998745-117999480forward strand	-
ENSG00000221631	-	-	-	-	-
ENSG00000233435	AGGF1P2	angiogenic factor with G-patch and FHA domains 1 pseudogene 2 	processed pseudogene	Chromosome 10: 133640789-133642894forward strand	-
ENSG00000227726	AP001271.1	novel transcript	lncRNA	Chromosome 11: 70477277-70477592reverse strand	-
ENSG00000257270	AL928654.2	"novel transcript, antisense to MTA1"	lncRNA	Chromosome 14: 105467793-105470617reverse strand	-
ENSG00000213238	AC008155.1	ribosomal protein S17 (RPS17) pseudogene	processed pseudogene	Chromosome 7: 138298088-138298484reverse strand	-
ENSG00000259309	AC021818.1	novel transcript	lncRNA	Chromosome 15: 69820756-69835111reverse strand	-
ENSG00000260738	LINC00554	long intergenic non-protein coding RNA 554 	lncRNA	Chromosome 13: 99994899-99997909reverse strand	-
ENSG00000233383	AC073089.1	HLA-B associated transcript 2 (BAT2) pseudogene	processed pseudogene	Chromosome 7: 67089257-67089470reverse strand	-
ENSG00000228525	AL353689.1	pseudogene similar to part of NADH dehydrogenase subunit 6 (ND6)	processed pseudogene	Chromosome 1: 226958069-226958267reverse strand	-
ENSG00000259214	AC012414.1	ankyrin repeat domain 18B (ANKRD18B) pseudogene	processed pseudogene	Chromosome 15: 20826454-20826640reverse strand	-
ENSG00000226490	AC138647.1	novel protein	protein coding	Chromosome 8: 141514638-141518737forward strand	-
ENSG00000258853	AC021979.2	novel transcript	lncRNA	Chromosome 15: 27684498-27685768reverse strand	-
ENSG00000267376	ATP5MGP6	ATP synthase membrane subunit g pseudogene 6 	processed pseudogene	Chromosome 17: 76202644-76202796reverse strand	-
ENSG00000129009	ISLR	immunoglobulin superfamily containing leucine rich repeat 	protein coding	Chromosome 15: 74173710-74176872forward strand	-
ENSG00000199728	RNU6-655P	"RNA, U6 small nuclear 655, pseudogene "	snRNA	Chromosome 18: 78036739-78036845forward strand	-
ENSG00000188693	CYP51A1-AS1	CYP51A1 antisense RNA 1 	lncRNA	Chromosome 7: 92134604-92180725forward strand	-
ENSG00000233882	LINC01680	long intergenic non-protein coding RNA 1680 	lncRNA	Chromosome 1: 191221159-191228467reverse strand	-
ENSG00000226107	RPL36AP54	ribosomal protein L36a pseudogene 54 	processed pseudogene	Chromosome X: 134522702-134522990forward strand	-
ENSG00000187954	CYHR1	cysteine and histidine rich 1 	protein coding	Chromosome 8: 144449582-144465667reverse strand	-
ENSG00000200462	RNU6-727P	"RNA, U6 small nuclear 727, pseudogene "	snRNA	Chromosome 5: 87420341-87420447reverse strand	-
ENSG00000065534	MYLK	myosin light chain kinase 	protein coding	Chromosome 3: 123610049-123884332reverse strand	-
ENSG00000261624	NDUFB10P2	NADH:ubiquinone oxidoreductase subunit B10 pseudogene 2 	processed pseudogene	Chromosome 7: 141351977-141352768forward strand	-
ENSG00000249452	AC093878.1	pseudogene similar to part of calmodulin regulated spectrin-associated protein 1 (CAMSAP1)	processed pseudogene	Chromosome 4: 33238239-33238670reverse strand	-
ENSG00000273257	AC069200.1	novel transcript	lncRNA	Chromosome 4: 55373637-55388497forward strand	-
ENSG00000235282	DYNLL1P3	dynein light chain LC8-type 1 pseudogene 3 	processed pseudogene	Chromosome 1: 18513118-18513383forward strand	-
ENSG00000251474	RPL32P3	ribosomal protein L32 pseudogene 3 	transcribed unprocessed pseudogene	Chromosome 3: 129382922-129399655reverse strand	-
ENSG00000263858	MIR4769	microRNA 4769 	miRNA	Chromosome X: 47587429-47587505forward strand	-
ENSG00000214646	COMMD4P1	COMM domain containing 4 pseudogene 1 	transcribed unprocessed pseudogene	Chromosome 15: 77941442-77944582reverse strand	-
ENSG00000124222	STX16	syntaxin 16 	protein coding	Chromosome 20: 58651253-58679526forward strand	-
ENSG00000130731	METTL26	methyltransferase like 26 	protein coding	Chromosome 16: 634427-636366reverse strand	-
ENSG00000006757	PNPLA4	patatin like phospholipase domain containing 4 	protein coding	Chromosome X: 7898247-7927739reverse strand	-
ENSG00000227470	RPL39P16	ribosomal protein L39 pseudogene 16 	processed pseudogene	Chromosome 2: 108878308-108878460forward strand	-
ENSG00000206770	Y_RNA	Y RNA 	misc RNA	Chromosome 5: 72768702-72768811forward strand	-
ENSG00000280785	-	-	-	-	-
ENSG00000276839	Metazoa_SRP	Metazoan signal recognition particle RNA 	misc RNA	Chromosome 1: 182576772-182577040reverse strand	-
ENSG00000087087	SRRT	"serrate, RNA effector molecule "	protein coding	Chromosome 7: 100875103-100888664forward strand	-
ENSG00000278863	AC091059.2	TEC	TEC	Chromosome 17: 59362665-59363278forward strand	-
ENSG00000145241	CENPC	centromere protein C 	protein coding	Chromosome 4: 67468762-67545503reverse strand	-
ENSG00000273634	AC079395.2	cAMP responsive element binding protein 1 (CREB1) pseudogene	processed pseudogene	Chromosome 2: 97008368-97009104reverse strand	-
ENSG00000159915	ZNF233	zinc finger protein 233 	protein coding	Chromosome 19: 44259880-44275317forward strand	-
ENSG00000267420	AC007993.2	novel transcript	lncRNA	Chromosome 17: 43927563-43932622forward strand	-
ENSG00000230814	USP9YP24	USP9Y pseudogene 24 	unprocessed pseudogene	Chromosome Y: 22528281-22536639forward strand	-
ENSG00000116213	WRAP73	"WD repeat containing, antisense to TP73 "	protein coding	Chromosome 1: 3630767-3652761reverse strand	-
ENSG00000167881	SRP68	signal recognition particle 68 	protein coding	Chromosome 17: 76038775-76072517reverse strand	-
ENSG00000163702	IL17RC	interleukin 17 receptor C 	protein coding	Chromosome 3: 9917074-9933630forward strand	-
ENSG00000279418	LINC00244	long intergenic non-protein coding RNA 244 	lncRNA	Chromosome 7: 156540491-156541103forward strand	-
ENSG00000253461	IGKV1-35	immunoglobulin kappa variable 1-35 (pseudogene) 	IG V pseudogene	Chromosome 2: 89286689-89286973reverse strand	-
ENSG00000168530	MYL1	myosin light chain 1 	protein coding	Chromosome 2: 210290150-210315174reverse strand	-
ENSG00000229699	AL161636.1	novel transcript	lncRNA	Chromosome 1: 153174518-153191676forward strand	-
ENSG00000077235	GTF3C1	general transcription factor IIIC subunit 1 	protein coding	Chromosome 16: 27459555-27549913reverse strand	-
ENSG00000278851	MIR6879	microRNA 6879 	miRNA	Chromosome 11: 65018505-65018570forward strand	-
ENSG00000232451	AC018467.1	novel transcript	lncRNA	Chromosome 2: 23018125-23199056reverse strand	-
ENSG00000246448	-	-	-	-	-
ENSG00000106665	CLIP2	CAP-Gly domain containing linker protein 2 	protein coding	Chromosome 7: 74289407-74405935forward strand	-
ENSG00000133328	PLAAT2	phospholipase A and acyltransferase 2 	protein coding	Chromosome 11: 63552770-63563379reverse strand	-
ENSG00000260207	DUX4L47	double homeobox 4 like 47 (pseudogene) 	processed pseudogene	Chromosome 16: 34142456-34142849forward strand	-
ENSG00000242516	LINC00960	long intergenic non-protein coding RNA 960 	lncRNA	Chromosome 3: 75672300-75742048forward strand	-
ENSG00000100211	CBY1	"chibby family member 1, beta catenin antagonist "	protein coding	Chromosome 22: 38656636-38673854forward strand	-
ENSG00000205755	CRLF2	cytokine receptor like factor 2 	protein coding	Chromosome X: 1187549-1212723reverse strand	-
ENSG00000265033	RN7SL262P	"RNA, 7SL, cytoplasmic 262, pseudogene "	misc RNA	Chromosome X: 49152651-49152944forward strand	-
ENSG00000236168	AL133466.1	gamma-glutamyltransferase family pseudogene	unprocessed pseudogene	Chromosome 20: 23980585-23980734reverse strand	-
ENSG00000248474	LINC02122	long intergenic non-protein coding RNA 2122 	lncRNA	Chromosome 5: 74084068-74103216reverse strand	-
ENSG00000182053	TRIM49B	tripartite motif containing 49B 	protein coding	Chromosome 11: 49027501-49038451forward strand	-
ENSG00000259262	NDUFA3P4	NADH:ubiquinone oxidoreductase subunit A3 pseudogene 4 	processed pseudogene	Chromosome 15: 90385814-90386063forward strand	-
ENSG00000271427	AL358072.1	novel transcript	lncRNA	Chromosome 1: 117364899-117365473reverse strand	-
ENSG00000270069	MIR222HG	miR222/221 cluster host gene 	lncRNA	Chromosome X: 45745211-45770274reverse strand	-
ENSG00000244331	AC008677.2	"ribosomal protein, large, P2 (RPLP2) pseudogene"	processed pseudogene	Chromosome 5: 157931258-157931563reverse strand	-
ENSG00000118308	IRAG2	"inositol 1,4,5-triphosphate receptor associated 2 "	protein coding	Chromosome 12: 25004342-25108334forward strand	-
ENSG00000221552	MIR1303	microRNA 1303 	miRNA	Chromosome 5: 154685776-154685861forward strand	-
ENSG00000241219	AC078785.2	novel transcript	lncRNA	Chromosome 3: 113050912-113063443reverse strand	-
ENSG00000006062	MAP3K14	mitogen-activated protein kinase kinase kinase 14 	protein coding	Chromosome 17: 45263119-45317029reverse strand	-
ENSG00000232445	EMSLR	E2F1 mRNA stabilizing lncRNA 	lncRNA	Chromosome 7: 101308270-101314800forward strand	-
ENSG00000231977	AL096828.1	novel transcript	lncRNA	Chromosome 20: 63166797-63180903reverse strand	-
ENSG00000230576	OR6R1P	olfactory receptor family 6 subfamily R member 1 pseudogene 	unprocessed pseudogene	Chromosome 1: 247833349-247834288reverse strand	-
ENSG00000181009	OR52N5	olfactory receptor family 52 subfamily N member 5 	protein coding	Chromosome 11: 5776165-5783355reverse strand	-
ENSG00000256892	MTRNR2L7	MT-RNR2 like 7 	protein coding	Chromosome 10: 37601440-37602974reverse strand	-
ENSG00000261593	CYP4A27P	"cytochrome P450 family 4 subfamily A member 27, pseudogene "	unprocessed pseudogene	Chromosome 1: 47000898-47001087reverse strand	-
ENSG00000253818	IGLV1-41	immunoglobulin lambda variable 1-41 (pseudogene) 	IG V pseudogene	Chromosome 22: 22404207-22404721forward strand	-
ENSG00000100150	DEPDC5	"DEP domain containing 5, GATOR1 subcomplex subunit "	protein coding	Chromosome 22: 31753867-31908033forward strand	-
ENSG00000171631	P2RY6	pyrimidinergic receptor P2Y6 	protein coding	Chromosome 11: 73264498-73305103forward strand	-
ENSG00000279668	AC024610.2	novel transcript	lncRNA	Chromosome 17: 33827699-34079100reverse strand	-
ENSG00000159917	ZNF235	zinc finger protein 235 	protein coding	Chromosome 19: 44228729-44305046reverse strand	-
ENSG00000251365	LINC02236	long intergenic non-protein coding RNA 2236 	lncRNA	Chromosome 5: 6765891-6833120forward strand	-
ENSG00000266215	MIR3167	microRNA 3167 	miRNA	Chromosome 11: 126988458-126988542reverse strand	-
ENSG00000271437	AL356423.1	high mobility group box 1 (HMGB1) pseudogene	processed pseudogene	Chromosome 13: 98553243-98553780forward strand	-
ENSG00000253362	AC012400.1	tropomyosin 3 (TPM3) pseudogene	unprocessed pseudogene	Chromosome 8: 84163449-84164564reverse strand	-
ENSG00000236354	LINC00437	long intergenic non-protein coding RNA 437 	lncRNA	Chromosome 13: 38533343-38545299reverse strand	-
ENSG00000261583	AC012317.1	novel transcript	lncRNA	Chromosome 16: 23711990-23712793forward strand	-
ENSG00000078747	ITCH	itchy E3 ubiquitin protein ligase 	protein coding	Chromosome 20: 34363241-34540748forward strand	-
ENSG00000163492	CCDC141	coiled-coil domain containing 141 	protein coding	Chromosome 2: 178829757-179050086reverse strand	-
ENSG00000237840	FAM21FP	"family with sequence similarity 21 member F, pseudogene "	transcribed unprocessed pseudogene	Chromosome 10: 45706431-45727231reverse strand	-
ENSG00000263433	AC069061.1	"potassium inwardly-rectifying channel, subfamily J, member 12 (KCNJ12) pseudogene"	processed pseudogene	Chromosome 17: 26981694-26982090forward strand	-
ENSG00000227060	LINC00629	long intergenic non-protein coding RNA 629 	lncRNA	Chromosome X: 134549770-134560399forward strand	-
ENSG00000201010	RN7SKP224	RN7SK pseudogene 224 	misc RNA	Chromosome 2: 48217575-48217899forward strand	-
ENSG00000196660	SLC30A10	solute carrier family 30 member 10 	protein coding	Chromosome 1: 219685427-219958647reverse strand	-
ENSG00000264518	-	-	-	-	-
ENSG00000232617	AC017019.1	"pseudogene similar to part of RNA binding motif protein, Y-linked, family 1, member A1 (RBMY1A1)"	unprocessed pseudogene	Chromosome Y: 9665229-9669010forward strand	-
ENSG00000242282	AC108488.1	novel transcript	lncRNA	Chromosome 2: 3531813-3536873reverse strand	-
ENSG00000234647	AL606970.3	novel transcript	lncRNA	Chromosome 6: 168242938-168262581forward strand	-
ENSG00000261030	AC079171.1	novel transcript	lncRNA	Chromosome X: 13093660-13094573forward strand	-
ENSG00000102901	CENPT	centromere protein T 	protein coding	Chromosome 16: 67828157-67847811reverse strand	-
ENSG00000213310	CYCSP19	CYCS pseudogene 19 	processed pseudogene	Chromosome 7: 121398452-121398767forward strand	-
ENSG00000232906	AC092685.1	"novel pseudogene containing a Zinc finger, C2H2 type domain"	processed pseudogene	Chromosome 7: 65355934-65357176forward strand	-
ENSG00000240041	IGHJ4	immunoglobulin heavy joining 4 	IG J gene	Chromosome 14: 105864215-105864260reverse strand	-
ENSG00000204149	AGAP6	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 6 "	protein coding	Chromosome 10: 49982190-50011654forward strand	-
ENSG00000227176	NSA2P5	NSA2 pseudogene 5 	processed pseudogene	Chromosome 2: 170077224-170078294reverse strand	-
ENSG00000229906	SNRPGP11	small nuclear ribonucleoprotein polypeptide G pseudogene 11 	processed pseudogene	Chromosome 13: 51496020-51496251reverse strand	-
ENSG00000119946	CNNM1	cyclin and CBS domain divalent metal cation transport mediator 1 	protein coding	Chromosome 10: 99329356-99394330forward strand	-
ENSG00000204304	PBX2	PBX homeobox 2 	protein coding	Chromosome 6: 32184733-32190202reverse strand	-
ENSG00000199361	RNU1-150P	"RNA, U1 small nuclear 150, pseudogene "	snRNA	Chromosome 5: 40269558-40269719forward strand	-
ENSG00000125571	IL37	interleukin 37 	protein coding	Chromosome 2: 112912971-112918882forward strand	-
ENSG00000267141	AC012615.4	"novel transcript, antisense to KLF16"	lncRNA	Chromosome 19: 1860250-1862019forward strand	-
ENSG00000273455	AC072039.2	"novel transcript, antisense to PPP2R3A"	lncRNA	Chromosome 3: 136087475-136087913reverse strand	-
ENSG00000253768	AC008663.1	novel transcript	lncRNA	Chromosome 5: 173562478-173573199forward strand	-
ENSG00000186994	KANK3	KN motif and ankyrin repeat domains 3 	protein coding	Chromosome 19: 8322584-8343262reverse strand	-
ENSG00000240344	PPIL3	peptidylprolyl isomerase like 3 	protein coding	Chromosome 2: 200870907-200889303reverse strand	-
ENSG00000250629	AC091435.2	novel transcript	lncRNA	Chromosome 5: 38783580-38792754forward strand	-
ENSG00000233802	TRIM49D2	tripartite motif containing 49D2 	protein coding	Chromosome 11: 89924064-89933063forward strand	-
ENSG00000231967	AL135786.1	novel pseudogene	processed pseudogene	Chromosome 9: 5356312-5356525reverse strand	-
ENSG00000152822	GRM1	glutamate metabotropic receptor 1 	protein coding	Chromosome 6: 146027646-146437601forward strand	-
ENSG00000124177	CHD6	chromodomain helicase DNA binding protein 6 	protein coding	Chromosome 20: 41402083-41618384reverse strand	-
ENSG00000253629	AP000426.1	novel transcript	lncRNA	Chromosome 8: 101686547-101689093forward strand	-
ENSG00000175874	CREG2	cellular repressor of E1A stimulated genes 2 	protein coding	Chromosome 2: 101345550-101387503reverse strand	-
ENSG00000261458	AC009132.1	WD repeat domain 59 (WDR59) pseudogene	unprocessed pseudogene	Chromosome 16: 74842587-74843883forward strand	-
ENSG00000056558	TRAF1	TNF receptor associated factor 1 	protein coding	Chromosome 9: 120902393-120929173reverse strand	-
ENSG00000206815	RNU6-483P	"RNA, U6 small nuclear 483, pseudogene "	snRNA	Chromosome 3: 57548838-57548945forward strand	-
ENSG00000241889	AC079944.2	dullard homolog (Xenopus laevis) (DULLARD) pseudogene	processed pseudogene	Chromosome 3: 113885298-113886031forward strand	-
ENSG00000229211	KCTD9P6	potassium channel tetramerization domain containing 9 pseudogene 6 	processed pseudogene	Chromosome 8: 31219894-31220984reverse strand	-
ENSG00000258292	LINC02410	long intergenic non-protein coding RNA 2410 	lncRNA	Chromosome 12: 95803097-95823307forward strand	-
ENSG00000133488	SEC14L4	SEC14 like lipid binding 4 	protein coding	Chromosome 22: 30488902-30505711reverse strand	-
ENSG00000222009	BTBD19	BTB domain containing 19 	protein coding	Chromosome 1: 44808482-44815585forward strand	-
ENSG00000177993	ZNRF3-AS1	ZNRF3 antisense RNA 1 	lncRNA	Chromosome 22: 29024999-29031476reverse strand	-
ENSG00000181761	OR8H3	olfactory receptor family 8 subfamily H member 3 	protein coding	Chromosome 11: 56122373-56123311forward strand	-
ENSG00000110693	SOX6	SRY-box transcription factor 6 	protein coding	Chromosome 11: 15966449-16739591reverse strand	-
ENSG00000249270	KATNBL1P4	katanin regulatory subunit B1 like 1 pseudogene 4 	processed pseudogene	Chromosome 5: 51930808-51932036forward strand	-
ENSG00000226576	AC060234.1	novel transcript	lncRNA	Chromosome 10: 48984564-49018897forward strand	-
ENSG00000207839	MIR33B	microRNA 33b 	miRNA	Chromosome 17: 17813836-17813931reverse strand	-
